green_channel,red_channel,ir_channel,Anomaly_ch0,Anomaly_ch1,Anomaly_ch2
22575,17617,29178,0,0,0
22567,17613,29166,0,0,0
22549,17607,29152,0,0,0
22528,17586,29122,0,0,0
22519,17567,29093,0,0,0
22513,17562,29080,0,0,0
22492,17556,29064,0,0,0
22461,17539,29035,0,0,0
22437,17519,29006,0,0,0
22413,17503,28982,0,0,0
22381,17484,28952,0,0,0
22357,17460,28912,0,0,0
22345,17442,28878,0,0,0
22327,17434,28854,0,0,0
22293,17420,28821,0,0,0
22259,17399,28775,0,0,0
22241,17384,28735,0,0,0
22223,17378,28708,0,0,0
22195,17364,28676,0,0,0
22171,17340,28636,0,0,0
22159,17321,28606,0,0,0
22142,17309,28586,0,0,0
22112,17291,28554,0,0,0
22087,17268,28509,0,0,0
22074,17255,28475,0,0,0
22057,17247,28450,0,0,0
22026,17230,28416,0,0,0
21997,17208,28376,0,0,0
21977,17195,28348,0,0,0
21951,17183,28326,0,0,0
21914,17155,28288,0,0,0
21883,17121,28242,0,0,0
21866,17103,28209,0,0,0
21842,17096,28183,0,0,0
21808,17082,28146,0,0,0
21780,17067,28111,0,0,0
21762,17064,28092,0,0,0
21735,17060,28076,0,0,0
21699,17043,28039,0,0,0
21678,17025,27998,0,0,0
21677,17020,27974,0,0,0
21672,17018,27959,0,0,0
21657,17005,27931,0,0,0
21645,16991,27899,0,0,0
21639,16986,27881,0,0,0
21625,16981,27863,0,0,0
21606,16965,27829,0,0,0
21597,16951,27794,0,0,0
21593,16952,27775,0,0,0
21578,16952,27755,0,0,0
21554,16936,27723,0,0,0
21538,16920,27697,0,0,0
21523,16911,27684,0,0,0
21498,16900,27666,0,0,0
21474,16885,27638,0,0,0
21462,16876,27619,0,0,0
21447,16876,27613,0,0,0
21415,16867,27595,0,0,0
21387,16845,27559,0,0,0
21379,16830,27529,0,0,0
21375,16826,27512,0,0,0
21357,16815,27489,0,0,0
21339,16795,27458,0,0,0
21334,16781,27435,0,0,0
21328,16774,27421,0,0,0
21310,16763,27399,0,0,0
21296,16747,27371,0,0,0
21290,16741,27352,0,0,0
21279,16740,27340,0,0,0
21257,16733,27316,0,0,0
21239,16720,27282,0,0,0
21233,16718,27261,0,0,0
21224,16722,27249,0,0,0
21208,16717,27226,0,0,0
21201,16708,27200,0,0,0
21205,16712,27192,0,0,0
21201,16719,27191,0,0,0
