green_channel,red_channel,ir_channel
32119,56801,28192
32054,56749,28108
31977,56688,28011
31888,56617,27903
31789,56536,27783
31684,56448,27652
31574,56354,27509
31459,56254,27356
31341,56150,27195
31221,56046,27029
31100,55943,26862
30977,55839,26696
30854,55732,26530
30731,55625,26364
30609,55519,26199
30484,55413,26033
30357,55308,25865
30230,55203,25695
30103,55096,25526
29976,54988,25360
29852,54884,25196
29732,54783,25038
29615,54687,24888
29501,54594,24743
29392,54504,24599
29288,54418,24460
29186,54336,24327
29088,54258,24200
28999,54184,24080
28916,54116,23966
28834,54049,23855
28755,53983,23747
28678,53918,23642
28603,53855,23542
28531,53795,23445
28459,53741,23350
28388,53692,23255
28317,53642,23164
28249,53590,23078
28180,53536,22992
28110,53480,22902
28040,53422,22808
27968,53361,22711
27897,53299,22614
27831,53237,22514
27766,53177,22413
27703,53119,22314
27642,53063,22217
27582,53013,22122
27521,52963,22029
27457,52912,21935
27388,52857,21837
27314,52798,21733
27235,52735,21623
27152,52667,21512
27071,52597,21401
26994,52526,21292
26919,52458,21184
26845,52392,21079
26774,52331,20977
26705,52274,20878
26641,52223,20788
26587,52181,20714
26553,52156,20663
26549,52157,20648
26584,52193,20684
26667,52269,20785
26804,52391,20958
26996,52558,21200
27237,52769,21503
27524,53022,21863
27849,53307,22272
28203,53614,22718
28574,53931,23189
28948,54252,23669
29318,54565,24145
29676,54865,24612
30016,55152,25064
30335,55422,25495
30629,55672,25899
30896,55898,26271
31133,56097,26605
31341,56272,26899
31520,56422,27150
31669,56545,27355
31784,56638,27513
31863,56701,27626
31908,56734,27698
31920,56742,27724
31900,56723,27708
31851,56681,27655
31776,56616,27569
31673,56527,27450
31547,56417,27303
31407,56293,27129
31257,56161,26931
31094,56019,26712
30917,55868,26477
30729,55709,26225
30530,55543,25961
30321,55370,25689
30103,55189,25410
29880,55005,25127
29651,54817,24837
29416,54623,24540
29173,54418,24237
28925,54209,23930
28678,54000,23623
28436,53795,23318
28204,53599,23021
27989,53418,22740
27796,53258,22487
27630,53123,22269
27497,53012,22088
27398,52930,21944
27331,52878,21843
27295,52856,21788
27291,52861,21776
27319,52893,21802
27374,52946,21861
27448,53014,21944
27539,53094,22049
27642,53184,22173
27751,53282,22311
27865,53382,22457
27981,53484,22604
28097,53586,22752
28214,53687,22900
28325,53782,23039
28427,53868,23166
28517,53945,23280
28596,54012,23381
28662,54068,23469
28714,54112,23541
28752,54143,23594
28773,54163,23624
28779,54171,23636
28770,54165,23628
28745,54143,23596
28703,54109,23543
28647,54066,23474
28579,54015,23390
28503,53955,23293
28418,53884,23181
28323,53798,23055
28219,53703,22915
28108,53601,22765
27989,53495,22610
27867,53388,22454
27741,53282,22292
27611,53175,22125
27473,53063,21955
27330,52948,21784
27189,52832,21613
27053,52720,21444
26921,52612,21278
26790,52508,21117
26665,52409,20962
26544,52312,20812
26428,52217,20667
26317,52126,20525
26210,52039,20386
26105,51957,20252
25999,51876,20121
25895,51796,19993
25797,51719,19869
25707,51647,19751
25623,51580,19641
25548,51519,19537
25478,51463,19438
25410,51409,19344
25342,51355,19253
25274,51298,19162
25206,51237,19071
25137,51174,18980
25069,51112,18888
25002,51053,18798
24935,50999,18712
24869,50948,18631
24804,50897,18551
24743,50845,18470
24687,50798,18391
24633,50755,18320
24579,50717,18252
24525,50680,18185
24473,50642,18120
24422,50602,18055
24371,50561,17991
24319,50522,17925
24268,50483,17860
24214,50443,17795
24156,50399,17727
24099,50354,17658
24042,50310,17589
23985,50267,17521
23932,50225,17456
23888,50188,17397
23854,50159,17350
23832,50141,17321
23835,50146,17321
23874,50181,17361
23958,50253,17452
24090,50368,17602
24268,50528,17815
24496,50731,18095
24770,50972,18436
25085,51244,18832
25432,51541,19272
25802,51853,19743
26182,52169,20232
26557,52486,20728
26924,52800,21220
27281,53107,21701
27622,53400,22162
27940,53672,22597
28235,53924,22999
28507,54153,23367
28750,54355,23698
28957,54528,23990
29128,54671,24240
29266,54784,24447
29373,54869,24608
29447,54927,24724
29486,54960,24795
29494,54970,24825
29470,54954,24814
29416,54914,24764
29339,54852,24676
29239,54770,24554
29118,54667,24403
28976,54545,24227
28819,54409,24029
28650,54262,23811
28467,54101,23575
28272,53930,23323
28067,53752,23059
27855,53567,22787
27638,53376,22508
27413,53178,22222
27181,52978,21927
26940,52776,21623
26692,52573,21314
26442,52371,21005
26200,52173,20698
25968,51979,20399
25748,51794,20113
25545,51624,19846
25366,51477,19606
25214,51354,19404
25092,51256,19246
25005,51186,19132
24955,51145,19063
24941,51135,19039
24960,51154,19058
25008,51201,19114
25084,51270,19202
25184,51359,19320
25301,51465,19463
25432,51582,19621
25575,51707,19793
25724,51834,19972
25872,51960,20152
26014,52082,20328
26150,52198,20500
26275,52304,20664
26383,52397,20810
26477,52480,20936
26560,52553,21042
26632,52613,21129
26690,52657,21196
26732,52688,21241
26758,52708,21268
26768,52715,21277
26763,52708,21267
26744,52688,21238
26709,52654,21192
26657,52609,21129
26590,52552,21049
26508,52486,20952
26417,52412,20842
26316,52328,20721
26208,52236,20591
26094,52139,20453
25976,52038,20307
25851,51933,20156
25720,51824,20002
25586,51714,19843
25448,51602,19680
25311,51488,19516
25177,51378,19353
25050,51271,19191
24928,51170,19033
24811,51075,18879
24702,50987,18730
24601,50904,18589
24503,50824,18453
24408,50745,18321
24317,50668,18191
24231,50593,18064
24148,50523,17943
24063,50455,17829
23978,50389,17721
23897,50327,17616
23818,50265,17514
23740,50201,17417
23663,50136,17323
23587,50069,17230
23509,50003,17137
23434,49941,17045
23363,49883,16953
23296,49828,16863
23230,49776,16775
23164,49725,16689
23097,49673,16604
23030,49621,16518
22964,49571,16434
22898,49520,16352
22836,49469,16274
22777,49418,16199
22720,49368,16127
22664,49318,16055
22610,49269,15982
22558,49225,15913
22509,49189,15847
22463,49158,15786
22422,49130,15732
22386,49108,15690
22362,49093,15661
22358,49093,15651
22380,49115,15672
22441,49165,15736
22547,49252,15859
22708,49386,16053
22930,49571,16322
23208,49803,16663
23534,50073,17067
23899,50379,17524
24295,50714,18020
24709,51066,18545
25129,51425,19088
25546,51784,19638
25955,52135,20184
26351,52471,20719
26728,52788,21234
27082,53086,21720
27409,53362,22172
27706,53610,22584
27970,53828,22953
28200,54019,23276
28397,54182,23555
28558,54316,23786
28682,54418,23969
28774,54491,24104
28833,54536,24191
28859,54551,24232
28853,54538,24229
28819,54501,24185
28757,54440,24103
28671,54358,23988
28564,54258,23844
28438,54142,23672
28293,54014,23478
28130,53873,23268
27953,53724,23045
27765,53568,22810
27568,53404,22564
27367,53233,22308
27162,53059,22048
26953,52887,21782
26737,52713,21511
26518,52537,21237
26297,52357,20961
26076,52177,20684
25857,51997,20409
25645,51819,20140
25441,51649,19879
25252,51490,19632
25081,51344,19410
24929,51216,19216
24800,51107,19053
24699,51022,18923
24628,50963,18833
24590,50932,18782
24586,50928,18768
24615,50952,18791
24672,51000,18850
24754,51070,18939
24857,51158,19054
24977,51259,19192
25106,51368,19348
25240,51484,19515
25377,51605,19687
25517,51726,19860
25654,51844,20030
25783,51955,20195
25900,52058,20349
26005,52149,20487
26093,52226,20608
26166,52288,20713
26226,52339,20798
26271,52377,20864
26301,52403,20912
26316,52413,20943
26319,52408,20954
26310,52390,20944
26286,52361,20913
26249,52322,20864
26198,52275,20798
26138,52220,20718
26067,52158,20626
25987,52091,20523
25898,52019,20410
25801,51941,20288
25697,51854,20157
25587,51762,20017
25474,51667,19868
25356,51568,19715
25235,51465,19560
25114,51360,19404
24990,51258,19246
24866,51159,19088
24744,51059,18932
24626,50963,18778
24516,50875,18625
24407,50787,18476
24299,50700,18333
24193,50615,18194
24088,50533,18060
23982,50454,17931
23877,50376,17807
23775,50299,17685
23676,50220,17564
23580,50139,17444
23487,50054,17324
23400,49971,17207
23317,49894,17092
23237,49820,16980
23160,49750,16871
23087,49684,16765
23019,49623,16665
22954,49565,16571
22889,49508,16482
22824,49456,16399
22762,49409,16318
22699,49366,16236
22635,49322,16150
22570,49275,16062
22507,49226,15973
22443,49176,15886
22379,49125,15801
22318,49075,15720
22260,49026,15644
22204,48978,15574
22152,48933,15508
22108,48891,15445
22069,48854,15390
22037,48823,15345
22013,48801,15313
22002,48796,15296
22011,48810,15302
22042,48848,15341
22106,48912,15425
22215,49012,15563
22381,49158,15768
22607,49352,16045
22893,49595,16395
23233,49882,16815
23620,50205,17297
24042,50554,17827
24487,50923,18389
24942,51300,18968
25395,51677,19554
25835,52043,20138
26256,52394,20708
26655,52728,21255
27030,53043,21775
27377,53336,22262
27697,53603,22712
27985,53843,23118
28238,54051,23476
28456,54227,23782
28639,54376,24036
28785,54496,24240
28893,54588,24398
28966,54652,24509
29008,54689,24574
29017,54697,24596
28992,54676,24577
28936,54630,24518
28853,54561,24421
28748,54472,24292
28623,54362,24135
28482,54236,23951
28329,54098,23746
28165,53953,23527
27993,53800,23300
27815,53642,23065
27633,53481,22825
27448,53320,22581
27258,53160,22335
27066,53003,22087
26874,52845,21834
26682,52684,21579
26489,52520,21325
26296,52355,21072
26106,52192,20823
25924,52034,20580
25750,51883,20349
25587,51745,20135
25440,51624,19945
25312,51522,19783
25207,51438,19653
25129,51378,19555
25079,51342,19487
25056,51328,19452
25062,51335,19448
25098,51362,19477
25156,51410,19536
25231,51472,19621
25320,51547,19727
25423,51634,19849
25534,51730,19983
25652,51831,20126
25775,51939,20274
25899,52048,20423
26019,52153,20573
26130,52249,20720
26231,52340,20860
26323,52425,20988
26404,52499,21098
26472,52558,21190
26527,52601,21264
26572,52630,21320
26602,52647,21358
26616,52653,21379
26617,52651,21381
26608,52639,21363
26587,52617,21324
26554,52583,21269
26511,52538,21200
26458,52483,21117
26394,52423,21022
26319,52357,20916
26234,52283,20799
26141,52203,20675
26042,52118,20544
25934,52029,20410
25819,51937,20271
25700,51842,20126
25580,51746,19977
25460,51648,19824
25340,51550,19668
25220,51453,19513
25099,51352,19359
24976,51247,19209
24855,51144,19059
24739,51046,18908
24629,50954,18758
24521,50865,18612
24417,50781,18469
24325,50701,18332
24239,50628,18202
24156,50556,18080
24074,50485,17962
23990,50415,17848
23903,50345,17738
23818,50278,17633
23737,50213,17531
23659,50147,17432
23585,50080,17335
23514,50014,17242
23446,49953,17153
23381,49896,17068
23320,49845,16988
23260,49798,16909
23203,49754,16832
23146,49710,16755
23090,49666,16677
23035,49624,16598
22983,49583,16520
22932,49543,16444
22881,49503,16373
22831,49465,16303
22781,49427,16231
22730,49387,16161
22680,49348,16097
22630,49309,16036
22580,49271,15975
22529,49235,15914
22479,49201,15854
22431,49167,15791
22384,49132,15731
22342,49097,15677
22307,49064,15632
22284,49039,15604
22278,49030,15599
22297,49044,15622
22351,49088,15686
22452,49171,15807
22606,49301,15997
22815,49480,16264
23081,49708,16606
23408,49984,17017
23786,50300,17488
24201,50645,18005
24636,51007,18555
25082,51378,19124
25528,51751,19701
25965,52118,20277
26388,52471,20841
26791,52809,21382
27168,53126,21895
27517,53421,22371
27839,53690,22806
28127,53929,23197
28380,54136,23542
28594,54310,23842
28772,54453,24092
28915,54566,24292
29022,54649,24442
29090,54699,24544
29123,54721,24601
29122,54720,24614
29092,54696,24585
29035,54648,24519
28955,54575,24418
28856,54482,24283
28737,54371,24119
28601,54246,23933
28448,54110,23728
28284,53965,23509
28111,53812,23280
27932,53654,23043
27750,53491,22801
27569,53329,22553
27391,53168,22302
27211,53008,22050
27027,52849,21801
26838,52691,21553
26646,52532,21305
26450,52375,21057
26257,52220,20812
26071,52070,20574
25894,51929,20348
25731,51797,20135
25587,51679,19944
25468,51579,19781
25375,51499,19647
25309,51442,19548
25268,51408,19488
25254,51395,19464
25266,51405,19476
25302,51436,19519
25364,51489,19591
25447,51559,19691
25546,51643,19813
25657,51736,19954
25778,51837,20105
25906,51943,20261
26035,52052,20419
26160,52161,20578
26281,52265,20732
26394,52363,20878
26496,52452,21018
26588,52529,21146
26670,52597,21259
26742,52656,21352
26801,52703,21425
26847,52737,21477
26879,52758,21510
26897,52765,21524
26898,52760,21518
26884,52745,21492
26858,52721,21451
26821,52688,21397
26772,52646,21331
26713,52593,21252
26642,52530,21160
26559,52454,21052
26464,52371,20931
26363,52286,20799
26257,52199,20659
26146,52110,20514
26029,52015,20365
25907,51917,20212
25781,51814,20052
25654,51709,19887
25529,51601,19720
25406,51494,19552
25282,51388,19385
25159,51282,19218
25036,51176,19054
24914,51072,18893
24794,50972,18736
24676,50878,18584
24561,50790,18440
24453,50709,18303
24355,50632,18176
24263,50558,18054
24176,50486,17937
24094,50418,17825
24016,50353,17719
23942,50290,17616
23869,50228,17517
23801,50169,17420
23734,50111,17327
23665,50052,17234
23595,49994,17140
23530,49936,17046
23469,49881,16955
23410,49829,16871
23355,49781,16789
23306,49737,16709
23258,49695,16633
23207,49655,16561
23152,49614,16488
23100,49574,16418
23050,49536,16353
23001,49501,16292
22952,49465,16232
22904,49428,16173
22858,49388,16117
22811,49348,16061
22761,49307,16004
22712,49267,15948
22662,49224,15891
22611,49180,15832
22564,49138,15771
22522,49100,15710
22482,49064,15649
22444,49032,15590
