green_channel,red_channel,ir_channel,Anomaly,Anomaly_ch2
39670,15106,58383,1,0
39562,14980,58187,0,0
39465,14865,58006,0,0
39381,14763,57843,0,0
39309,14677,57703,0,0
39248,14605,57586,0,0
39200,14546,57492,0,0
39166,14504,57422,0,0
39144,14474,57373,0,0
39128,14454,57338,0,0
39117,14442,57310,0,0
39104,14431,57280,0,0
39085,14415,57243,0,0
39059,14387,57192,0,0
39022,14344,57119,0,0
38972,14285,57024,0,0
38910,14209,56903,0,0
38835,14116,56758,0,0
38750,14009,56596,0,0
38655,13895,56423,0,0
38558,13777,56246,0,0
38464,13662,56071,0,0
38372,13555,55903,0,0
38288,13457,55746,0,0
38212,13371,55602,0,0
38150,13301,55476,0,0
38102,13245,55373,0,0
38066,13203,55294,0,0
38042,13173,55240,0,0
38030,13159,55209,0,0
38027,13158,55195,0,0
38031,13166,55193,0,0
38041,13179,55205,0,0
38056,13193,55226,0,0
38076,13210,55251,0,0
38097,13230,55278,0,0
38116,13250,55303,0,0
38131,13268,55323,0,0
38140,13277,55331,0,0
38139,13271,55320,0,0
38125,13249,55289,0,0
38098,13211,55237,0,0
38062,13161,55167,0,0
38017,13102,55076,0,0
37961,13032,54967,0,0
37894,12952,54841,0,0
37818,12865,54696,0,0
37735,12769,54538,0,0
37646,12663,54369,0,0
37550,12548,54191,0,0
37449,12425,54005,0,0
37342,12296,53813,0,0
37228,12162,53614,0,0
37110,12027,53407,0,0
36990,11889,53192,0,0
36869,11750,52972,0,0
36747,11610,52750,0,0
36626,11471,52533,0,0
36509,11336,52322,0,0
36396,11203,52113,0,0
36287,11071,51905,0,0
36180,10947,51699,0,0
36074,10828,51499,0,0
35967,10708,51303,0,0
35858,10587,51111,0,0
35753,10464,50923,0,0
35655,10342,50741,0,0
35562,10227,50564,0,0
35472,10119,50392,0,0
35387,10019,50227,0,0
35304,9924,50068,0,0
35222,9832,49912,0,0
35142,9740,49759,0,0
35062,9648,49612,0,0
34982,9557,49468,0,0
34902,9467,49327,0,0
34823,9378,49186,0,0
34744,9291,49046,0,0
34665,9204,48909,0,0
34584,9117,48776,0,0
34502,9031,48647,0,0
34422,8946,48518,0,0
34346,8863,48390,0,0
34273,8782,48260,0,0
34206,8701,48129,0,0
34143,8620,48001,0,0
34080,8542,47878,0,0
34016,8466,47758,0,0
33952,8391,47639,0,0
33889,8316,47519,0,0
33825,8240,47397,0,0
33760,8164,47272,0,0
33695,8089,47147,0,0
33630,8015,47021,0,0
33565,7940,46894,0,0
33500,7864,46763,0,0
33432,7786,46631,0,0
33361,7701,46499,0,0
33285,7611,46365,0,0
33205,7519,46226,0,0
33122,7425,46082,0,0
33035,7329,45929,0,0
32944,7228,45767,0,0
32848,7120,45597,0,0
32752,7010,45424,0,0
32657,6902,45251,0,0
32561,6795,45078,0,0
32464,6685,44906,0,0
32365,6575,44733,0,0
32263,6464,44556,0,0
32158,6350,44376,0,0
32049,6233,44190,0,0
31937,6110,43998,0,0
31821,5981,43797,0,0
31702,5848,43588,0,0
31581,5716,43370,0,0
31461,5584,43151,0,0
31344,5452,42935,0,0
31234,5326,42730,0,0
31137,5214,42549,0,0
31066,5130,42419,0,0
31039,5096,42372,0,0
31074,5136,42444,0,0
31194,5279,42673,0,0
31423,5548,43095,0,0
31775,5956,43732,0,0
32250,6506,44582,0,0
32835,7180,45622,0,0
33507,7952,46809,0,0
34235,8784,48088,0,0
34984,9635,49402,0,0
35722,10470,50701,0,0
36427,11260,51942,0,0
37076,11984,53092,0,0
37656,12630,54129,0,0
38161,13191,55041,0,0
38589,13666,55823,0,0
38940,14059,56474,0,0
39217,14373,56998,0,0
39425,14611,57403,0,0
39571,14778,57702,0,0
39660,14879,57901,0,0
39699,14925,58008,0,0
39697,14923,58034,0,0
39661,14879,57990,0,0
39598,14798,57882,0,0
39510,14687,57722,0,0
39402,14551,57522,0,0
39277,14399,57293,0,0
39142,14237,57044,0,0
39001,14067,56782,0,0
38858,13895,56517,0,0
38717,13723,56253,0,0
38581,13558,56000,0,0
38451,13401,55761,0,0
38331,13256,55541,0,0
38223,13125,55343,0,0
38129,13013,55171,0,0
38051,12921,55026,0,0
37987,12847,54906,0,0
37934,12784,54808,0,0
37889,12731,54725,0,0
37849,12685,54652,0,0
37810,12643,54582,0,0
37769,12600,54506,0,0
37721,12549,54417,0,0
37665,12486,54309,0,0
37601,12407,54179,0,0
37526,12317,54030,0,0
37440,12219,53862,0,0
37347,12114,53682,0,0
37253,12005,53495,0,0
37158,11894,53307,0,0
37063,11784,53124,0,0
36970,11679,52951,0,0
36887,11587,52797,0,0
36820,11511,52669,0,0
36772,11455,52574,0,0
36742,11422,52511,0,0
36730,11412,52481,0,0
36733,11422,52483,0,0
36751,11447,52513,0,0
36782,11486,52567,0,0
36822,11539,52637,0,0
36868,11598,52714,0,0
36915,11659,52791,0,0
36962,11716,52862,0,0
37007,11766,52924,0,0
37043,11804,52971,0,0
37065,11827,52998,0,0
37073,11832,53002,0,0
37066,11820,52983,0,0
37044,11792,52944,0,0
37008,11748,52881,0,0
36958,11690,52793,0,0
36896,11617,52679,0,0
36816,11526,52541,0,0
36723,11420,52382,0,0
36621,11302,52206,0,0
36513,11176,52014,0,0
36397,11042,51809,0,0
36273,10897,51593,0,0
