green_channel,red_channel,ir_channel,Anomaly
54287,26835,5505,0
54248,26792,5413,0
54206,26744,5323,0
54141,26683,5250,0
54087,26637,5200,0
54080,26630,5186,0
54110,26659,5228,0
54164,26718,5330,0
54258,26817,5478,0
54412,26967,5673,0
54597,27148,5920,0
54787,27343,6209,0
55000,27565,6531,0
55253,27820,6887,0
55522,28090,7284,0
55794,28367,7707,0
56080,28657,8129,0
56380,28952,8548,0
56662,29231,8967,0
56911,29487,9378,0
57150,29731,9765,0
57393,29971,10129,0
57618,30195,10482,0
57823,30397,10815,0
58030,30590,11108,0
58232,30769,11361,0
58388,30905,11578,0
58498,31001,11755,0
58595,31079,11887,0
58684,31145,11991,0
58735,31184,12078,0
58755,31204,12135,0
58782,31227,12158,0
58810,31243,12157,0
58804,31228,12138,0
58767,31188,12093,0
58725,31140,12021,0
58683,31091,11944,0
58617,31035,11877,0
58543,30984,11810,0
58497,30957,11737,0
58470,30940,11659,0
58431,30912,11583,0
58384,30877,11505,0
58346,30845,11430,0
58306,30808,11370,0
58253,30763,11328,0
58210,30725,11292,0
58200,30707,11263,0
58197,30692,11248,0
58177,30669,11238,0
58157,30646,11216,0
58151,30632,11189,0
58139,30615,11169,0
58104,30582,11149,0
58070,30552,11119,0
58054,30535,11085,0
58034,30514,11054,0
57996,30483,11016,0
57955,30454,10962,0
57923,30426,10903,0
57879,30385,10855,0
57827,30337,10814,0
57798,30309,10775,0
57791,30305,10749,0
57787,30307,10748,0
57786,30311,10761,0
57812,30331,10772,0
57855,30361,10794,0
57881,30383,10833,0
57899,30408,10881,0
57944,30456,10932,0
58007,30516,10994,0
58057,30566,11072,0
58098,30609,11149,0
58151,30658,11214,0
58203,30705,11274,0
58229,30732,11329,0
58242,30753,11371,0
58267,30783,11404,0
58298,30815,11438,0
58315,30833,11477,0
58330,30848,11502,0
58360,30870,11508,0
58378,30876,11501,0
58359,30849,11480,0
58324,30808,11435,0
58292,30769,11379,0
58250,30724,11330,0
58189,30669,11284,0
58136,30619,11225,0
58104,30580,11158,0
58066,30533,11090,0
58004,30470,11011,0
57939,30409,10914,0
57883,30354,10809,0
57816,30291,10715,0
57737,30223,10629,0
57676,30176,10544,0
57639,30143,10460,0
57593,30098,10384,0
57530,30038,10308,0
57475,29985,10219,0
57432,29936,10126,0
57369,29870,10037,0
57291,29793,9946,0
57230,29727,9851,0
57186,29667,9760,0
57129,29599,9683,0
57066,29532,9600,0
57026,29488,9507,0
56994,29447,9416,0
56932,29384,9329,0
56854,29310,9238,0
56791,29250,9145,0
56741,29203,9064,0
56682,29157,9000,0
56623,29117,8938,0
56591,29094,8876,0
56566,29072,8823,0
56519,29033,8771,0
56463,28989,8706,0
56417,28948,8632,0
56364,28900,8566,0
56293,28841,8510,0
56232,28795,8457,0
56199,28766,8404,0
56170,28739,8363,0
56131,28706,8332,0
56103,28674,8288,0
56093,28650,8236,0
56072,28617,8192,0
56029,28571,8151,0
55993,28539,8105,0
55975,28525,8063,0
55954,28509,8035,0
55926,28490,8010,0
55916,28482,7972,0
55918,28480,7928,0
55900,28459,7890,0
55864,28424,7848,0
55842,28398,7795,0
55832,28379,7743,0
55807,28348,7701,0
55767,28307,7659,0
55746,28281,7609,0
55736,28263,7562,0
55702,28228,7518,0
55650,28184,7469,0
55614,28148,7412,0
55589,28122,7364,0
55550,28091,7328,0
55504,28060,7288,0
55482,28040,7240,0
55469,28018,7194,0
55433,27976,7145,0
55380,27925,7081,0
55334,27875,6999,0
55288,27824,6923,0
55224,27769,6860,0
55157,27723,6800,0
55114,27695,6736,0
55079,27665,6669,0
55025,27617,6599,0
54967,27562,6517,0
54925,27510,6425,0
54877,27450,6341,0
54811,27382,6269,0
54760,27328,6201,0
54741,27299,6146,0
54732,27280,6119,0
54723,27269,6122,0
54739,27286,6149,0
54802,27345,6218,0
54897,27438,6353,0
55020,27568,6553,0
55200,27751,6808,0
55437,27982,7119,0
55693,28230,7481,0
55954,28487,7871,0
56235,28761,8268,0
56528,29045,8674,0
56799,29316,9091,0
57056,29579,9512,0
57330,29855,9930,0
57614,30135,10338,0
57875,30400,10732,0
58105,30640,11091,0
58328,30864,11409,0
58536,31068,11703,0
58699,31235,11977,0
58835,31378,12223,0
58979,31519,12438,0
59117,31646,12626,0
59221,31743,12781,0
59297,31811,12889,0
59364,31863,12949,0
59407,31887,12979,0
59405,31874,12989,0
59378,31848,12978,0
59348,31824,12947,0
59311,31789,12907,0
59257,31736,12860,0
59209,31686,12796,0
59181,31646,12719,0
59147,31599,12644,0
59089,31539,12569,0
59033,31483,12488,0
58996,31441,12411,0
58958,31404,12355,0
58909,31366,12311,0
58878,31341,12264,0
58869,31329,12217,0
58850,31305,12177,0
58814,31272,12143,0
58794,31254,12111,0
58793,31251,12086,0
58784,31243,12077,0
58764,31229,12076,0
58760,31227,12069,0
58763,31225,12049,0
58738,31201,12016,0
58695,31165,11975,0
58669,31141,11929,0
58652,31122,11889,0
58618,31089,11860,0
58575,31051,11825,0
58556,31029,11782,0
58550,31015,11741,0
58525,30988,11707,0
58487,30960,11680,0
58465,30948,11661,0
58462,30947,11662,0
58462,30952,11686,0
58476,30973,11717,0
58521,31021,11751,0
58573,31075,11793,0
58607,31114,11838,0
58638,31149,11875,0
58678,31187,11914,0
58713,31221,11974,0
58731,31247,12045,0
58756,31276,12102,0
58801,31315,12144,0
58836,31344,12178,0
58844,31353,12204,0
58853,31362,12216,0
58879,31378,12224,0
58901,31387,12238,0
58904,31383,12254,0
58911,31381,12259,0
58923,31380,12251,0
58913,31361,12232,0
58876,31324,12196,0
58837,31289,12136,0
58803,31255,12068,0
58748,31201,12005,0
58678,31137,11939,0
58630,31091,11866,0
58600,31059,11795,0
58551,31018,11726,0
58484,30961,11651,0
58428,30904,11560,0
58381,30850,11469,0
58312,30780,11380,0
58236,30708,11287,0
58188,30659,11195,0
58156,30619,11110,0
58111,30570,11034,0
58055,30514,10951,0
58006,30462,10856,0
57954,30403,10764,0
57881,30327,10679,0
57808,30256,10595,0
57758,30206,10513,0
57718,30163,10440,0
57672,30113,10370,0
57633,30069,10291,0
57611,30038,10204,0
57578,29997,10120,0
57515,29937,10040,0
57449,29878,9958,0
57400,29831,9877,0
57352,29783,9812,0
57292,29729,9758,0
57243,29684,9694,0
57214,29652,9622,0
57173,29611,9551,0
57109,29554,9479,0
57054,29510,9405,0
57023,29487,9343,0
56993,29463,9304,0
56957,29434,9272,0
56936,29416,9229,0
56926,29405,9184,0
56895,29379,9148,0
56848,29344,9119,0
56821,29324,9089,0
56813,29316,9065,0
56793,29300,9055,0
56763,29275,9035,0
56750,29255,8994,0
56747,29236,8945,0
56720,29202,8896,0
56681,29161,8840,0
56660,29129,8779,0
56649,29104,8732,0
56623,29074,8703,0
56591,29047,8674,0
56580,29038,8636,0
56572,29030,8597,0
56539,29003,8553,0
56495,28967,8493,0
56459,28936,8421,0
56422,28897,8357,0
56370,28847,8307,0
56323,28804,8257,0
56299,28777,8206,0
56277,28750,8158,0
56237,28711,8109,0
56194,28674,8050,0
56158,28644,7991,0
56112,28605,7946,0
56049,28555,7909,0
55991,28515,7868,0
55960,28485,7833,0
55935,28444,7805,0
55894,28394,7764,0
55854,28351,7694,0
55823,28315,7612,0
55775,28268,7533,0
55707,28210,7452,0
55658,28164,7368,0
55630,28131,7290,0
55593,28094,7221,0
55540,28044,7147,0
55496,27993,7054,0
55459,27941,6954,0
55398,27873,6859,0
