green_channel,red_channel,ir_channel,Anomaly_ch0,Anomaly_ch1,Anomaly_ch2,Anomaly_ch2
11319,40520,60818,0,0,1,0
11273,40479,60749,0,0,1,0
11229,40434,60681,0,0,1,0
11188,40390,60614,0,0,1,0
11146,40349,60544,0,0,1,0
11100,40306,60466,0,0,1,0
11052,40260,60383,0,0,1,0
11004,40215,60299,0,0,1,0
10950,40166,60215,0,0,1,0
10890,40113,60129,0,0,1,0
10825,40061,60039,0,0,1,0
10757,40011,59943,0,0,1,0
10686,39960,59844,0,0,1,0
10612,39904,59742,0,0,1,0
10536,39846,59635,0,0,1,0
10459,39788,59523,0,0,1,0
10381,39729,59411,0,0,1,0
10303,39669,59302,0,0,1,0
10226,39609,59194,0,0,1,0
10153,39550,59086,0,0,1,0
10083,39491,58975,0,0,1,0
10015,39430,58860,0,0,1,0
9948,39367,58739,0,0,1,0
9880,39301,58613,0,0,1,0
9808,39231,58489,0,0,1,0
9733,39159,58366,0,0,1,0
9658,39089,58241,0,0,1,0
9583,39025,58121,0,0,1,0
9511,38966,58011,0,0,1,0
9446,38917,57917,0,0,1,0
9398,38884,57849,0,0,1,0
9378,38872,57821,0,0,1,0
9396,38891,57849,0,0,1,0
9461,38953,57947,0,0,1,0
9585,39068,58131,0,0,1,0
9778,39240,58416,0,0,1,0
10045,39472,58810,0,0,1,0
10384,39764,59314,0,0,1,0
10793,40112,59923,0,0,1,0
11266,40513,60630,0,0,1,0
11787,40955,60103,0,0,1,0
12343,41429,56263,0,0,1,0
12918,41922,49353,0,0,1,0
13496,42419,41088,0,0,1,0
14059,42905,32668,0,0,1,0
14595,43371,24864,0,0,1,0
15092,43806,18116,0,0,1,0
15540,44194,12611,0,0,1,0
15933,44531,8362,0,0,1,0
16271,44819,5279,0,0,1,0
16557,45062,3203,0,0,1,0
16789,45259,1949,0,0,1,0
16968,45411,1326,0,0,1,0
17104,45525,1159,0,0,1,0
17205,45605,1302,0,0,1,0
17277,45657,1634,0,0,1,0
17319,45687,2059,0,0,1,0
17341,45703,2513,0,0,1,0
17354,45713,2952,0,0,1,0
17358,45718,3348,0,0,1,0
17355,45720,3685,0,0,1,0
17347,45719,3959,0,0,1,0
17339,45715,4169,0,0,1,0
17332,45708,4323,0,0,1,0
17326,45704,4431,0,0,1,0
17323,45703,4502,0,0,1,0
17325,45705,4543,0,0,1,0
17327,45705,4558,0,0,1,0
17330,45703,4557,0,0,1,0
17336,45703,4548,0,0,1,0
17343,45702,4532,0,0,1,0
17346,45700,4510,0,0,1,0
17340,45696,4478,0,0,1,0
17321,45683,4432,0,0,1,0
17288,45655,4367,0,0,1,0
17238,45610,4280,0,0,1,0
17172,45552,4169,0,0,1,0
17091,45480,4037,0,0,1,0
16996,45396,3888,0,0,1,0
16890,45303,3724,0,0,1,0
16776,45206,3551,0,0,1,0
16664,45109,3375,0,0,1,0
16554,45014,3207,0,0,1,0
16450,44923,3050,0,0,1,0
16359,44843,2905,0,0,1,0
16282,44777,2777,0,0,1,0
16223,44722,2671,0,0,1,0
16179,44679,2590,0,0,1,0
16144,44644,2530,0,0,1,0
16118,44620,2488,0,0,1,0
16100,44606,2465,0,0,1,0
16092,44598,2455,0,0,1,0
16087,44593,2450,0,0,1,0
16083,44585,2445,0,0,1,0
16078,44575,2437,0,0,1,0
16071,44563,2423,0,0,1,0
16059,44549,2399,0,0,1,0
16041,44531,2362,0,0,1,0
16014,44506,2314,0,0,1,0
15976,44474,2256,0,0,1,0
15929,44435,2187,0,0,1,0
15875,44390,2108,0,0,1,0
15817,44338,2020,0,0,1,0
15755,44281,1923,0,0,1,0
15688,44220,1819,0,0,1,0
15615,44157,1708,0,0,1,0
15539,44089,1590,0,0,1,0
15459,44016,1463,0,0,1,0
15374,43940,1330,0,0,1,0
15281,43858,1193,0,0,1,0
15182,43770,1053,0,0,1,0
15079,43680,907,0,0,1,0
14971,43588,756,0,0,1,0
14865,43497,1918,0,0,1,0
14760,43404,6449,0,0,1,0
14653,43311,14079,0,0,1,0
14548,43222,23071,0,0,1,0
14446,43133,32203,0,0,1,0
14342,43040,40678,0,0,1,0
14238,42947,48039,0,0,1,0
14136,42858,54081,0,0,1,0
14035,42772,58783,0,0,1,0
13936,42688,62236,0,0,1,0
13839,42604,64596,0,0,1,0
13746,42521,520,0,0,1,0
13656,42440,1279,0,0,1,0
13565,42361,1517,0,0,1,0
13475,42284,1392,0,0,1,0
13391,42212,1035,0,0,1,0
13310,42144,550,0,0,1,0
13231,42076,14,0,0,1,0
13155,42013,65016,0,0,1,0
13084,41955,64518,0,0,1,0
13016,41897,64079,0,0,1,0
12950,41840,63705,0,0,1,0
12884,41786,63394,0,0,1,0
12821,41737,63141,0,0,1,0
12760,41686,62938,0,0,1,0
12700,41635,62776,0,0,1,0
12643,41584,62646,0,0,1,0
12588,41534,62542,0,0,1,0
12534,41484,62454,0,0,1,0
12476,41434,62376,0,0,1,0
12414,41382,62303,0,0,1,0
12351,41330,62235,0,0,1,0
12289,41277,62167,0,0,1,0
12226,41222,62096,0,0,1,0
12160,41167,62018,0,0,1,0
12094,41114,61933,0,0,1,0
12029,41057,61843,0,0,1,0
11966,40997,61747,0,0,1,0
11904,40940,61646,0,0,1,0
11838,40884,61542,0,0,1,0
11766,40826,61436,0,0,1,0
11690,40764,61332,0,0,1,0
11612,40702,61229,0,0,1,0
11532,40638,61124,0,0,1,0
11451,40575,61013,0,0,1,0
