green_channel,red_channel,ir_channel,Anomaly_ch0,Anomaly_ch0
49647,21803,30036,0,0
49687,21822,30017,0,0
49760,21871,30038,0,0
49871,21954,30106,0,0
50015,22064,30215,0,0
50186,22194,30361,0,0
50389,22349,30551,0,0
50634,22533,30798,0,0
50916,22747,31103,0,0
51228,22985,31456,0,0
51565,23246,31854,0,0
51924,23527,32289,0,0
52307,23824,32752,0,0
52714,24137,33236,0,0
53142,24463,33738,0,0
53589,24799,34256,0,0
54049,25143,34779,0,0
54509,25486,35294,0,0
54961,25821,35790,0,0
55398,26142,36264,0,0
55806,26438,36707,0,0
56175,26703,37109,0,0
56508,26943,37466,0,0
56803,27153,37782,0,0
57054,27328,38051,0,0
57261,27473,38274,0,0
57432,27596,38458,0,0
57572,27702,38606,0,0
57677,27782,38719,0,0
57753,27836,38799,0,0
57806,27876,38861,0,0
57842,27909,38910,0,0
57860,27932,38943,0,0
57865,27945,38966,0,0
57867,27955,38986,0,0
57865,27961,38997,0,0
57854,27960,38992,0,0
57837,27949,38974,0,0
57824,27936,38956,0,0
57819,27927,38944,0,0
57817,27922,38933,0,0
57821,27921,38921,0,0
57841,27928,38918,0,0
57870,27942,38924,0,0
57899,27962,38934,0,0
57924,27983,38944,0,0
57942,27999,38951,0,0
57948,28003,38952,0,0
57935,27996,38947,0,0
57902,27977,38938,0,0
57848,27949,38920,0,0
57779,27908,38890,0,0
57693,27853,38842,0,0
57594,27783,38773,0,0
57490,27703,38685,0,0
57383,27618,38579,0,0
57271,27527,38460,0,0
57159,27440,38338,0,0
57052,27361,38220,0,0
56949,27292,38110,0,0
56853,27231,38008,0,0
56767,27179,37915,0,0
56697,27135,37833,0,0
56644,27100,37764,0,0
56607,27073,37707,0,0
56591,27059,37671,0,0
56592,27058,37660,0,0
56598,27064,37664,0,0
56601,27068,37673,0,0
56600,27077,37688,0,0
56599,27093,37710,0,0
56600,27109,37727,0,0
56601,27119,37739,0,0
56603,27128,37754,0,0
56602,27137,37769,0,0
56588,27136,37775,0,0
