green_channel,red_channel,ir_channel,Anomaly,Anomaly_ch0,Anomaly_ch0
56994,33686,10484,1,1,0
56963,33651,10426,0,1,0
56928,33627,10372,0,1,0
56880,33613,10322,0,1,0
56852,33612,10281,0,1,0
56870,33617,10252,0,1,0
56915,33622,10229,0,1,0
56966,33621,10209,0,1,0
57037,33609,10195,0,1,0
57132,33586,10185,0,1,0
57221,33552,10170,0,1,0
57284,33508,10148,0,1,0
57343,33456,10123,0,1,0
57401,33400,10090,0,1,0
57422,33341,10041,0,1,0
57399,33283,9979,0,1,0
57365,33228,9912,0,1,0
57333,33179,9846,0,1,0
57285,33139,9780,0,1,0
57225,33114,9717,0,1,0
57182,33105,9655,0,1,0
57166,33108,9593,0,1,0
57159,33117,9529,0,1,0
57166,33135,9470,0,1,0
57208,33159,9417,0,1,0
57279,33178,9367,0,1,0
57356,33184,9319,0,1,0
57439,33175,9276,0,1,0
57542,33151,9239,0,1,0
57654,33119,9205,0,1,0
57742,33087,9172,0,1,0
57801,33063,9137,0,1,0
57846,33045,9101,0,1,0
57873,33033,9061,0,1,0
57862,33032,9019,0,1,0
57827,33044,8974,0,1,0
57800,33067,8927,0,1,0
57774,33095,8879,0,1,0
57733,33116,8833,0,1,0
57696,33127,8786,0,1,0
57688,33124,8734,0,1,0
57695,33107,8681,0,1,0
57703,33079,8631,0,1,0
57734,33050,8584,0,1,0
57803,33022,8537,0,1,0
57868,32994,8489,0,1,0
57898,32972,8440,0,1,0
57906,32959,8393,0,1,0
57900,32955,8348,0,1,0
57852,32960,8303,0,1,0
57756,32971,8257,0,1,0
57644,32993,8209,0,1,0
57533,33019,8155,0,1,0
57402,33047,8097,0,1,0
57253,33078,8044,0,1,0
57129,33115,8006,0,1,0
57049,33161,7982,0,1,0
56982,33210,7976,0,1,0
56923,33261,7991,0,1,0
56894,33315,8035,0,1,0
56894,33373,8103,0,1,0
56895,33435,8189,0,1,0
56899,33504,8292,0,1,0
56922,33582,8410,0,1,0
56941,33667,8541,0,1,0
56915,33755,8683,0,1,0
56851,33842,8833,0,1,0
56773,33929,8990,0,1,0
56673,34011,9151,0,1,0
56534,34087,9313,0,1,0
56389,34153,9477,0,1,0
56276,34209,9639,0,1,0
56197,34254,9797,0,1,0
56142,34291,9948,0,1,0
56131,34318,10085,0,1,0
56187,34342,10202,0,1,0
56294,34363,10298,0,1,0
56413,34377,10372,0,1,0
56533,34384,10428,0,1,0
56648,34386,10470,0,1,0
56732,34384,10494,0,1,0
56758,34384,10503,0,1,0
56726,34392,10505,0,1,0
56643,34409,10504,0,1,0
56503,34432,10501,0,1,0
56301,34454,10498,0,1,0
56065,34472,10497,0,1,0
55822,34485,10499,0,1,1
55576,34492,10502,0,1,1
55336,34498,10512,0,1,1
55131,34510,10533,0,1,1
54985,34527,10564,0,1,1
54883,34545,10597,0,1,1
54813,34568,10633,0,1,1
54782,34597,10673,0,1,1
54783,34631,10714,0,1,1
54786,34662,10746,0,1,1
54781,34682,10771,0,1,1
54780,34690,10790,0,1,1
54778,34689,10793,0,1,1
54762,34679,10778,0,1,1
54731,34662,10755,0,1,1
54702,34638,10730,0,1,1
54668,34609,10701,0,1,1
54611,34575,10668,0,1,1
54535,34539,10632,0,1,1
54460,34506,10592,0,1,1
54385,34478,10548,0,1,1
54293,34459,10499,0,1,1
54186,34448,10449,0,1,1
54091,34442,10404,0,1,1
54019,34436,10360,0,1,1
53961,34431,10319,0,1,1
53925,34425,10281,0,1,1
53928,34416,10241,0,1,1
53969,34403,10201,0,1,1
54034,34383,10165,0,1,1
54128,34362,10131,0,1,1
54251,34341,10099,0,1,1
54386,34319,10069,0,1,1
54515,34297,10046,0,1,1
54650,34283,10026,0,1,1
54805,34284,10001,0,1,1
54971,34296,9968,0,1,1
55147,34311,9933,0,1,1
55344,34320,9894,0,1,1
55561,34321,9849,0,1,1
55770,34313,9799,0,1,1
55955,34299,9749,0,1,1
56125,34281,9702,0,1,1
56278,34261,9655,0,1,1
56393,34239,9608,0,1,1
56464,34212,9567,0,1,1
56509,34181,9530,0,1,1
56536,34148,9498,0,1,1
56534,34111,9468,0,1,1
56499,34074,9439,0,1,1
56455,34040,9407,0,1,1
56412,34009,9360,0,1,1
56359,33978,9294,0,1,1
56303,33946,9214,0,1,1
56272,33917,9127,0,1,1
56270,33895,9033,0,1,1
56280,33875,8935,0,1,1
56307,33858,8835,0,1,1
56374,33844,8735,0,1,1
56473,33834,8636,0,1,1
56575,33828,8536,0,1,1
56675,33828,8439,0,1,1
56787,33827,8346,0,1,1
56898,33821,8257,0,1,1
56984,33809,8176,0,1,1
57049,33793,8100,0,1,1
57106,33776,8026,0,1,1
57143,33752,7954,0,1,1
57143,33719,7891,0,1,1
57124,33679,7836,0,1,1
57106,33634,7788,0,1,1
57079,33580,7748,0,1,1
57039,33523,7718,0,1,1
57010,33467,7699,0,1,1
57006,33415,7684,0,1,1
57010,33367,7667,0,1,1
57008,33323,7644,0,1,1
57021,33284,7615,0,1,1
57056,33256,7580,0,1,1
57091,33237,7533,0,1,1
57113,33221,7475,0,1,1
57128,33210,7408,0,1,1
57140,33200,7331,0,1,1
57131,33188,7249,0,1,1
57103,33175,7170,0,1,1
57074,33165,7096,0,1,1
57042,33155,7023,0,1,1
56981,33141,6951,0,1,1
56898,33125,6886,0,1,1
56827,33107,6825,0,1,1
56777,33083,6763,0,1,1
56735,33052,6695,0,1,1
56708,33014,6622,0,1,1
56721,32974,6541,0,1,1
56762,32936,6456,0,1,1
56796,32900,6373,0,1,1
56817,32864,6295,0,1,1
56830,32836,6223,0,1,1
56813,32812,6159,0,1,1
56741,32790,6108,0,1,1
56630,32771,6075,0,1,1
56512,32754,6061,0,1,1
56387,32735,6071,0,1,1
56252,32712,6107,0,1,1
56141,32680,6167,0,1,1
56078,32649,6247,0,1,1
56038,32625,6345,0,1,1
55998,32610,6456,0,1,1
55971,32607,6580,0,1,1
55966,32620,6713,0,1,1
55947,32649,6856,0,1,1
55898,32700,7013,0,1,1
55843,32770,7178,0,1,1
55795,32852,7344,0,1,1
55728,32942,7512,0,1,1
55639,33035,7685,0,1,1
55563,33130,7861,0,1,1
55512,33226,8034,0,1,1
55461,33325,8204,0,1,1
55414,33425,8374,0,1,1
55407,33525,8543,0,1,1
55450,33627,8702,0,1,1
55517,33727,8848,0,1,1
55603,33824,8983,0,1,1
55726,33917,9102,0,1,1
55878,34004,9203,0,1,1
56024,34077,9284,0,1,1
56155,34133,9346,0,1,1
56287,34175,9388,0,1,1
56406,34209,9407,0,1,1
56474,34238,9415,0,1,1
56486,34266,9426,0,1,1
56461,34296,9440,0,1,1
56398,34331,9455,0,1,1
56283,34369,9479,0,1,1
56138,34411,9512,0,1,1
56000,34451,9551,0,1,1
55871,34483,9593,0,1,1
55742,34510,9638,0,1,1
55635,34536,9679,0,1,1
55578,34563,9714,0,1,1
55568,34592,9742,0,1,1
55582,34619,9761,0,1,1
55621,34644,9768,0,1,1
55684,34674,9763,0,1,1
55743,34707,9747,0,1,1
55766,34739,9726,0,1,1
55756,34773,9701,0,1,1
55714,34809,9672,0,1,1
55619,34841,9641,0,1,1
55466,34868,9611,0,1,1
55285,34888,9584,0,1,1
55101,34899,9557,0,1,1
54916,34898,9535,0,1,1
54735,34882,9516,0,1,1
54589,34849,9492,0,1,1
54489,34799,9456,0,1,1
54417,34735,9407,0,1,1
54361,34670,9352,0,1,1
54331,34616,9288,0,1,1
54328,34577,9215,0,1,1
54328,34551,9139,0,1,1
54321,34536,9070,0,1,1
54327,34535,9010,0,1,1
54359,34541,8961,0,1,1
54400,34550,8925,0,1,1
54453,34558,8902,0,1,1
54542,34563,8888,0,1,1
54669,34562,8879,0,1,1
54808,34552,8871,0,1,1
54952,34536,8860,0,1,1
55111,34518,8841,0,1,1
55274,34496,8808,0,1,1
55407,34466,8769,0,1,1
