green_channel,red_channel,ir_channel,Anomaly_ch0
29344,59796,37882,0
29299,59761,37836,0
29257,59725,37791,0
29216,59690,37749,0
29175,59658,37706,0
29131,59627,37658,0
29086,59595,37608,0
29043,59563,37559,0
28997,59530,37509,0
28950,59497,37455,0
28903,59467,37402,0
28854,59433,37348,0
28802,59394,37291,0
28748,59355,37229,0
28696,59317,37170,0
28644,59280,37119,0
28594,59245,37075,0
28548,59214,37036,0
28504,59187,36998,0
28464,59164,36960,0
28427,59143,36921,0
28390,59122,36880,0
28351,59101,36839,0
28308,59077,36800,0
28266,59051,36764,0
28228,59026,36730,0
28192,59004,36696,0
28155,58984,36658,0
28120,58964,36614,0
28092,58945,36570,0
28073,58926,36529,0
28057,58908,36494,0
28041,58888,36464,0
28024,58865,36436,0
28004,58842,36408,0
27980,58816,36374,0
27951,58788,36333,0
27918,58760,36286,0
27882,58736,36242,0
27843,58712,36199,0
27806,58689,36154,0
27775,58670,36110,0
27747,58652,36069,0
27716,58630,36023,0
27683,58602,35969,0
27649,58572,35910,0
27610,58541,35852,0
27568,58510,35797,0
27528,58481,35742,0
27492,58454,35687,0
27457,58429,35636,0
27423,58406,35589,0
27394,58387,35543,0
27368,58370,35501,0
27339,58350,35461,0
27302,58321,35416,0
27262,58288,35364,0
27223,58256,35313,0
27185,58227,35260,0
27149,58200,35206,0
27117,58178,35152,0
27090,58155,35102,0
27066,58129,35058,0
27045,58101,35019,0
27030,58079,34987,0
27022,58066,34969,0
27022,58063,34968,0
27031,58067,34986,0
27051,58082,35026,0
27082,58109,35089,0
27122,58150,35173,0
27175,58206,35279,0
27243,58275,35406,0
27327,58356,35553,0
27422,58444,35713,0
27522,58531,35878,0
27622,58617,36042,0
27719,58703,36208,0
27813,58784,36376,0
27904,58860,36538,0
27991,58930,36689,0
28071,58993,36829,0
28142,59047,36951,0
28201,59091,37053,0
28250,59127,37137,0
28289,59154,37205,0
28316,59171,37256,0
28333,59178,37291,0
28345,59181,37315,0
28353,59184,37334,0
28355,59187,37348,0
28353,59187,37359,0
28353,59187,37370,0
28355,59188,37381,0
28357,59189,37386,0
28358,59191,37387,0
28358,59196,37388,0
28359,59201,37388,0
28362,59209,37392,0
