green_channel,red_channel,ir_channel,Anomaly_ch0,Anomaly_ch0,Anomaly_ch1,Anomaly_ch2,Anomaly_ch0
59415,28591,11006,1,0,0,0,0
59402,28580,10972,1,0,0,0,0
59399,28576,10934,1,0,0,0,0
59406,28577,10896,1,0,0,0,0
59408,28574,10860,1,0,0,0,0
59404,28569,10825,1,0,0,0,0
59415,28570,10792,1,0,0,0,0
59435,28575,10758,1,0,0,0,0
59443,28577,10724,1,0,0,0,0
59440,28574,10690,1,0,0,0,0
59443,28572,10657,1,0,0,0,0
59452,28572,10625,1,0,0,0,0
59447,28570,10592,1,0,0,0,0
59433,28565,10554,1,0,0,0,0
59425,28560,10515,1,0,0,0,0
59421,28554,10480,1,0,0,0,0
59411,28547,10451,1,0,0,0,0
59405,28541,10425,1,0,0,0,0
59415,28542,10403,1,0,0,0,0
59428,28545,10385,1,0,0,0,0
59427,28543,10368,1,0,0,0,0
59427,28546,10350,1,0,0,0,0
59443,28557,10335,1,0,0,0,0
59462,28571,10328,1,0,0,0,0
59475,28584,10328,1,0,0,0,0
59502,28603,10332,1,0,0,0,0
59554,28633,10342,1,0,0,0,0
59616,28667,10360,1,0,0,0,0
59676,28703,10381,1,0,0,0,0
59745,28743,10403,1,0,1,0,0
59827,28786,10426,1,0,1,0,0
59905,28830,10449,1,0,1,0,0
59973,28870,10472,1,0,1,0,0
60047,28914,10494,1,0,1,0,0
60130,28960,10518,1,0,1,0,0
60202,29003,10547,1,0,1,0,0
60258,29041,10578,1,0,1,0,0
60318,29082,10613,1,0,1,0,0
60387,29130,10661,1,0,1,0,0
60455,29181,10729,1,0,1,0,0
60528,29239,10823,1,0,1,0,0
60637,29320,10958,1,0,1,0,0
60793,29432,11152,1,0,1,0,0
60988,29578,11416,1,0,1,0,0
61235,29767,11759,1,0,1,0,0
61558,30007,12183,1,0,1,0,0
61955,30300,12694,1,0,1,0,0
62404,30636,13288,1,0,1,0,0
61588,31015,13959,1,0,1,0,0
57457,31434,14697,1,0,1,0,0
50268,31883,15491,1,0,1,0,0
41733,32350,16329,1,0,1,0,0
33075,32831,17189,1,0,1,0,0
25093,33324,18059,1,0,1,0,0
18224,33816,18925,1,0,1,0,0
12647,34292,19774,1,0,1,0,0
8384,34747,20589,1,0,1,0,0
5350,35181,21358,1,0,1,0,0
3374,35586,22076,1,0,1,0,0
2250,35954,22734,1,0,1,0,0
1791,36284,23325,1,0,1,0,0
1827,36581,23847,1,0,1,0,0
2181,36839,24307,1,0,1,0,0
2711,37055,24703,1,0,1,0,0
3329,37238,25036,1,0,1,0,0
3971,37396,25316,1,0,1,0,0
4575,37530,25553,1,0,1,0,0
5099,37637,25748,1,0,1,0,0
5546,37723,25904,1,0,1,1,0
5920,37790,26027,1,0,1,1,0
6209,37839,26126,1,0,1,1,0
6414,37869,26202,1,0,1,1,0
6563,37890,26258,1,0,1,1,0
6675,37907,26301,1,0,1,1,0
6743,37917,26337,1,0,1,1,0
6775,37920,26369,1,0,1,1,0
6798,37925,26399,1,0,1,1,0
6825,37937,26429,1,0,1,1,0
6840,37952,26464,1,0,1,1,0
6848,37971,26506,1,0,1,1,0
6872,38000,26552,1,0,1,1,0
6918,38040,26606,1,0,1,1,0
6961,38081,26669,1,0,1,1,0
7001,38117,26734,1,0,1,1,0
7055,38154,26799,1,0,1,1,0
7119,38190,26867,1,0,1,1,0
7171,38220,26934,1,0,1,1,0
7214,38248,26995,1,0,1,1,0
7265,38280,27055,1,0,1,1,0
7319,38313,27109,1,0,1,1,0
7357,38337,27151,1,0,1,1,0
7379,38354,27173,1,0,1,1,0
7399,38366,27174,1,0,1,1,0
7410,38370,27155,1,0,1,1,0
7397,38360,27117,1,0,1,1,0
7366,38340,27061,1,0,1,1,0
7336,38313,26990,1,0,1,1,0
7297,38278,26911,1,0,1,1,0
7237,38231,26823,1,0,1,1,0
7173,38177,26731,1,0,1,1,0
7121,38126,26642,1,0,1,1,0
7068,38075,26559,1,0,1,1,0
7004,38022,26478,1,0,1,1,0
6942,37973,26400,1,0,1,1,0
6896,37935,26332,1,0,1,1,0
6851,37902,26276,1,0,1,1,0
6799,37865,26226,1,0,1,1,0
6753,37829,26179,1,0,1,1,0
6723,37801,26136,1,0,1,1,0
6698,37778,26104,1,0,1,1,0
6671,37758,26081,1,0,1,1,0
6659,37746,26064,1,0,1,1,0
6665,37745,26057,1,0,1,1,0
6670,37746,26060,1,0,1,1,0
6669,37743,26073,1,0,1,1,0
6672,37741,26089,1,0,1,1,0
6683,37740,26104,1,0,1,1,0
6683,37736,26117,1,0,1,1,0
6670,37728,26122,1,0,1,1,0
6664,37720,26113,1,0,1,1,0
6665,37714,26093,1,0,1,1,0
6651,37703,26067,1,0,1,1,0
6623,37685,26033,1,0,1,1,0
6601,37666,25990,1,0,1,1,0
6579,37642,25937,1,0,1,1,0
6536,37606,25876,1,0,1,1,0
6477,37562,25804,1,0,1,1,0
6419,37516,25723,1,0,1,1,0
6359,37467,25630,1,0,1,1,0
6278,37408,25526,1,0,1,1,0
6182,37341,25409,1,0,1,1,0
6089,37272,25283,1,0,1,1,0
5999,37201,25155,1,0,1,1,0
5901,37124,25026,1,0,1,1,0
5798,37043,24894,1,0,1,1,0
5706,36966,24760,1,0,1,1,0
5616,36889,24627,1,0,1,1,0
5513,36809,24495,1,0,1,1,0
5408,36729,24359,1,0,1,1,0
5314,36652,24224,1,0,1,1,0
5224,36578,24097,1,0,1,1,0
5127,36503,23974,1,0,1,1,0
5036,36431,23852,1,0,1,1,0
4961,36365,23729,1,0,1,1,0
4887,36301,23611,1,0,1,1,0
4802,36236,23497,1,0,1,1,0
4727,36178,23391,1,0,1,1,0
4674,36131,23297,1,0,1,1,0
4624,36091,23216,1,0,1,1,0
4565,36055,23141,1,0,1,1,0
4514,36021,23068,1,0,1,1,0
4476,35990,22997,1,0,1,1,0
4432,35955,22927,1,0,1,1,0
4376,35917,22853,1,0,1,1,0
4326,35883,22776,1,0,1,1,0
4290,35853,22701,1,0,1,1,0
4246,35821,22626,1,0,1,1,0
4192,35783,22549,1,0,1,1,0
4145,35744,22470,1,0,1,1,0
4107,35708,22393,1,0,1,1,0
4059,35668,22319,1,0,1,1,0
4000,35625,22242,1,0,1,1,0
3945,35585,22163,1,0,1,1,0
3895,35548,22086,1,0,1,1,0
3832,35507,22007,1,0,1,1,0
3762,35460,21924,1,0,1,1,0
3703,35413,21841,1,0,1,1,0
3656,35372,21761,1,0,1,1,0
3601,35333,21683,1,0,1,1,0
3538,35295,21600,1,0,1,1,0
3484,35260,21515,1,0,1,1,0
3433,35224,21429,1,0,1,1,0
3366,35177,21339,1,0,1,1,0
3287,35123,21243,1,0,1,1,0
3214,35068,21146,1,0,1,1,0
3144,35010,21052,1,0,1,1,0
3063,34947,20957,1,0,1,1,0
2982,34885,20860,1,0,1,1,0
2915,34828,20762,1,0,1,1,0
2851,34773,20668,1,0,1,1,0
2778,34719,20576,1,0,1,1,0
2705,34666,20481,1,0,1,1,0
2644,34616,20387,1,0,1,1,0
2582,34564,20295,1,0,1,1,0
2504,34509,20199,1,0,1,1,0
2422,34453,20095,1,0,1,1,0
2351,34397,19987,1,0,1,1,0
2275,34336,19880,1,0,1,1,0
2183,34265,19768,1,0,1,1,0
2089,34190,19648,1,0,1,1,0
2003,34116,19529,1,0,1,1,0
1912,34041,19412,1,0,1,1,0
1810,33964,19299,1,0,1,1,0
1712,33893,19188,1,0,1,1,0
1625,33827,19075,1,0,1,1,0
1529,33757,18960,1,0,1,1,0
