green_channel,red_channel,ir_channel,Anomaly_ch2,Anomaly_ch2,Anomaly_ch2
19507,27789,56313,0,0,0
19674,27901,56629,0,0,0
19828,28006,56922,0,0,0
19979,28108,57197,0,0,0
20132,28216,57456,0,0,0
20285,28326,57695,0,0,0
20435,28438,57912,0,0,0
20586,28551,58115,0,0,0
20733,28660,58302,0,0,0
20868,28757,58466,0,0,0
20990,28842,58607,0,0,0
21105,28924,58734,0,0,0
21218,29003,58855,0,0,0
21321,29077,58963,0,0,0
21410,29143,59063,0,0,0
21494,29209,59165,0,0,0
21578,29274,59264,0,0,0
21655,29333,59357,0,0,0
21731,29389,59446,0,0,0
21809,29445,59538,0,0,0
21886,29499,59634,0,0,0
21955,29544,59729,0,0,0
22014,29582,59819,0,0,0
22067,29615,59907,0,0,0
22111,29644,59991,0,0,0
22143,29670,60071,0,0,0
22175,29699,60153,0,0,0
22219,29737,60243,0,0,0
22275,29782,60344,0,0,0
22340,29835,60448,0,0,0
22418,29896,60554,0,0,0
22506,29964,60658,0,0,0
22589,30028,60751,0,0,0
22660,30078,60824,0,0,0
22721,30118,60879,0,0,0
22774,30155,60918,0,0,0
22815,30187,60940,0,0,0
22842,30208,60944,0,0,0
22867,30225,60938,0,0,0
22896,30245,60930,0,0,0
22921,30260,60913,0,0,0
22932,30268,60883,0,0,0
22937,30273,60845,0,0,0
22940,30277,60799,0,0,0
22935,30274,60742,0,0,0
22917,30261,60672,0,0,0
22886,30239,60597,0,0,0
22842,30208,60526,0,0,0
22781,30163,60454,0,0,0
22711,30108,60384,0,0,0
22645,30057,60317,0,0,0
22587,30016,60257,0,0,0
22533,29982,60204,0,0,0
22486,29954,60160,0,0,0
22455,29936,60129,0,0,0
22437,29931,60108,0,0,0
22426,29932,60092,0,0,0
22423,29936,60080,0,0,0
22432,29945,60080,0,0,0
22445,29960,60088,0,0,0
22454,29971,60095,0,0,0
22460,29975,60098,0,0,0
22469,29979,60098,0,0,0
22478,29984,60092,0,0,0
22474,29984,60072,0,0,0
22457,29976,60038,0,0,0
22435,29967,59998,0,0,0
22403,29954,59952,0,0,0
22358,29930,59894,0,0,0
22310,29900,59830,0,0,0
22268,29869,59764,0,0,0
22219,29832,59694,0,0,0
22152,29785,59616,0,0,0
22073,29737,59535,0,0,0
21992,29692,59453,0,0,0
21906,29640,59362,0,0,0
21808,29576,59253,0,0,0
21707,29506,59134,0,0,0
21608,29436,59015,0,0,0
21510,29362,58900,0,0,0
21415,29288,58786,0,0,0
21336,29227,58679,0,0,0
21282,29187,58592,0,0,0
21247,29164,58526,0,0,0
21227,29154,58475,0,0,0
21220,29157,58437,0,0,0
21221,29166,58407,0,0,0
21218,29172,58374,0,0,0
21202,29167,58328,0,0,0
21178,29154,58272,0,0,0
21146,29135,58212,0,0,0
21092,29101,58144,0,0,0
21017,29053,58063,0,0,0
20934,28997,57973,0,0,0
20848,28935,57875,0,0,0
20751,28864,57765,0,0,0
20641,28784,57646,0,0,0
20521,28697,57522,0,0,0
20397,28606,57393,0,0,0
20267,28509,57256,0,0,0
20134,28410,57116,0,0,0
20007,28317,56984,0,0,0
19889,28235,56861,0,0,0
19777,28163,56744,0,0,0
19676,28102,56633,0,0,0
19596,28052,56533,0,0,0
19531,28009,56440,0,0,0
19476,27973,56354,0,0,0
19436,27948,56283,0,0,0
19418,27939,56231,0,0,0
19412,27938,56193,0,0,0
19405,27936,56156,0,0,0
19395,27933,56119,0,0,0
19379,27925,56080,0,0,0
19346,27906,56030,0,0,0
19288,27869,55961,0,0,0
19208,27815,55880,0,0,0
19118,27753,55793,0,0,0
19021,27685,55696,0,0,0
18921,27612,55594,0,0,0
18821,27541,55489,0,0,0
18720,27472,55380,0,0,0
18611,27395,55258,0,0,0
18486,27304,55120,0,0,0
18350,27201,54972,0,0,0
18203,27092,54820,0,0,0
18041,26975,54661,0,0,0
17863,26848,54489,0,0,0
17681,26718,54312,0,0,0
17500,26589,54145,0,0,0
17321,26461,53984,0,0,0
17148,26340,53827,0,0,0
16998,26236,53686,0,0,0
16878,26149,53563,0,0,0
16778,26077,53447,0,0,0
16688,26019,53334,0,0,0
16612,25969,53234,0,0,0
16548,25922,53146,0,0,0
16485,25873,53055,0,0,0
16421,25829,52961,0,0,0
16365,25797,52876,0,0,0
16317,25776,52803,0,0,0
16270,25758,52733,0,0,0
16225,25738,52665,0,0,0
16188,25717,52601,0,0,0
16153,25694,52536,0,0,0
16107,25661,52462,0,0,0
16053,25622,52380,0,0,0
16002,25584,52303,0,0,0
15955,25548,52231,0,0,0
15905,25511,52157,0,0,0
15847,25472,52077,0,0,0
15783,25431,51995,0,0,0
15707,25386,51905,0,0,0
15616,25332,51807,0,0,0
15521,25270,51708,0,0,0
15429,25206,51609,0,0,0
15325,25133,51499,0,0,0
15198,25042,51372,0,0,0
15058,24942,51235,0,0,0
14920,24843,51104,0,0,0
14794,24745,50987,0,0,0
14672,24655,50875,0,0,0
14553,24576,50765,0,0,0
14438,24503,50652,0,0,0
14319,24424,50530,0,0,0
14197,24341,50402,0,0,0
14086,24262,50279,0,0,0
13994,24197,50165,0,0,0
13911,24143,50061,0,0,0
13832,24094,49966,0,0,0
13768,24052,49887,0,0,0
13719,24023,49824,0,0,0
13677,24013,49783,0,0,0
13652,24021,49772,0,0,0
13661,24043,49804,0,0,0
13705,24081,49883,0,0,0
13776,24133,50008,0,0,0
13872,24197,50178,0,0,0
13997,24277,50391,0,0,0
14145,24372,50643,0,0,0
14303,24472,50922,0,0,0
14467,24574,51217,0,0,0
14633,24677,51526,0,0,0
14793,24781,51847,0,0,0
14940,24878,52170,0,0,0
15078,24968,52490,0,0,0
15215,25057,52807,0,0,0
15348,25142,53114,0,0,0
15469,25220,53403,0,0,0
15582,25290,53680,0,0,0
15691,25360,53942,0,0,0
15788,25428,54184,0,0,0
15866,25486,54397,0,0,0
15930,25536,54583,0,0,0
15983,25579,54745,0,0,0
16021,25612,54878,0,0,0
16044,25634,54983,0,0,0
16061,25655,55072,0,0,0
16078,25681,55158,0,0,0
16096,25714,55243,0,0,0
16122,25753,55317,0,0,0
16160,25802,55379,0,0,0
16209,25857,55444,0,0,0
16254,25904,55508,0,0,0
16289,25933,55561,0,0,0
16317,25946,55602,0,0,0
16338,25945,55628,0,0,0
16344,25934,55637,0,0,0
16333,25914,55629,0,0,0
16319,25889,55621,0,0,0
16312,25868,55625,0,0,0
16309,25849,55639,0,0,0
16310,25837,55665,0,0,0
16325,25842,55711,0,0,0
16354,25867,55778,0,0,0
16388,25897,55855,0,0,0
16421,25922,55928,0,0,0
16456,25944,55999,0,0,0
16490,25964,56068,0,0,0
16515,25976,56122,0,0,0
16530,25985,56154,0,0,0
16543,25995,56172,0,0,0
16549,26003,56176,0,0,0
16540,26000,56163,0,0,0
16521,25988,56135,0,0,0
16501,25973,56096,0,0,0
16476,25955,56045,0,0,0
16431,25924,55976,0,0,0
16361,25880,55888,0,0,0
16275,25829,55789,0,0,0
16175,25771,55681,0,0,0
16067,25703,55564,0,0,0
15964,25632,55443,0,0,0
15874,25569,55330,0,0,0
15796,25518,55233,0,0,0
15729,25475,55149,0,0,0
15680,25442,55079,0,0,0
15657,25427,55025,0,0,0
15656,25428,54984,0,0,0
15668,25439,54954,0,0,0
15692,25460,54944,0,0,0
15732,25493,54960,0,0,0
15783,25533,54995,0,0,0
15844,25578,55044,0,0,0
15915,25630,55105,0,0,0
15989,25686,55172,0,0,0
16052,25735,55228,0,0,0
16096,25769,55269,0,0,0
16125,25792,55296,0,0,0
16148,25809,55312,0,0,0
16165,25821,55318,0,0,0
16173,25824,55315,0,0,0
16177,25822,55305,0,0,0
16172,25816,55291,0,0,0
16151,25803,55267,0,0,0
16118,25781,55233,0,0,0
16085,25757,55194,0,0,0
16057,25738,55157,0,0,0
16033,25725,55118,0,0,0
16017,25719,55075,0,0,0
16011,25721,55035,0,0,0
16015,25733,55002,0,0,0
16021,25747,54971,0,0,0
16033,25762,54939,0,0,0
16054,25780,54909,0,0,0
16072,25794,54875,0,0,0
16077,25797,54832,0,0,0
16065,25784,54779,0,0,0
16040,25761,54719,0,0,0
16001,25731,54651,0,0,0
15943,25691,54572,0,0,0
15869,25641,54487,0,0,0
15792,25590,54402,0,0,0
15712,25537,54316,0,0,0
15632,25481,54223,0,0,0
15564,25432,54132,0,0,0
15516,25397,54056,0,0,0
15481,25373,53997,0,0,0
15450,25353,53944,0,0,0
15428,25339,53897,0,0,0
15414,25330,53857,0,0,0
15399,25322,53820,0,0,0
15379,25311,53781,0,0,0
15362,25301,53743,0,0,0
15345,25296,53706,0,0,0
15313,25283,53660,0,0,0
15257,25253,53595,0,0,0
15189,25212,53516,0,0,0
15117,25167,53433,0,0,0
15038,25115,53346,0,0,0
14954,25056,53255,0,0,0
14871,24993,53160,0,0,0
14791,24932,53065,0,0,0
14710,24871,52974,0,0,0
14631,24811,52884,0,0,0
14564,24760,52802,0,0,0
14519,24727,52732,0,0,0
14488,24705,52664,0,0,0
14471,24688,52596,0,0,0
14472,24676,52534,0,0,0
14482,24673,52489,0,0,0
14489,24681,52449,0,0,0
14501,24696,52410,0,0,0
14524,24714,52383,0,0,0
14547,24729,52374,0,0,0
14557,24736,52369,0,0,0
14560,24739,52361,0,0,0
14562,24741,52352,0,0,0
14560,24743,52345,0,0,0
14549,24740,52330,0,0,0
14530,24733,52302,0,0,0
14507,24722,52268,0,0,0
14476,24707,52227,0,0,0
14432,24683,52175,0,0,0
14384,24656,52118,0,0,0
14342,24629,52060,0,0,0
14303,24599,51998,0,0,0
14250,24562,51930,0,0,0
14186,24519,51859,0,0,0
14125,24477,51788,0,0,0
14071,24441,51715,0,0,0
14020,24411,51645,0,0,0
13976,24387,51586,0,0,0
13946,24374,51542,0,0,0
13927,24363,51504,0,0,0
13919,24353,51471,0,0,0
13929,24354,51447,0,0,0
13957,24371,51433,0,0,0
13987,24392,51420,0,0,0
14005,24403,51394,0,0,0
14013,24404,51356,0,0,0
14010,24396,51306,0,0,0
13989,24373,51241,0,0,0
13951,24339,51169,0,0,0
13906,24306,51101,0,0,0
13860,24276,51039,0,0,0
13813,24246,50983,0,0,0
13775,24220,50933,0,0,0
13759,24206,50897,0,0,0
13769,24210,50880,0,0,0
13796,24227,50874,0,0,0
13831,24251,50873,0,0,0
13876,24285,50880,0,0,0
13921,24320,50889,0,0,0
13953,24344,50891,0,0,0
13968,24354,50884,0,0,0
13971,24355,50870,0,0,0
13963,24352,50846,0,0,0
13935,24338,50805,0,0,0
13892,24314,50749,0,0,0
13853,24290,50693,0,0,0
13822,24272,50641,0,0,0
13801,24258,50595,0,0,0
13797,24254,50563,0,0,0
13819,24267,50557,0,0,0
13862,24297,50577,0,0,0
13918,24337,50626,0,0,0
13992,24392,50713,0,0,0
14099,24470,50847,0,0,0
14235,24565,51027,0,0,0
14399,24679,51253,0,0,0
14602,24819,51536,0,0,0
14848,24987,51873,0,0,0
15130,25178,52254,0,0,0
15431,25382,52664,0,0,0
15749,25597,53100,0,0,0
16084,25824,53560,0,0,0
16417,26056,54035,0,0,0
16741,26284,54504,0,0,0
17058,26508,54961,0,0,0
17362,26723,55401,0,0,0
